cluster_id,is_noise,count,share,mean__high_risk_shortage,mean__low_risk_shortage,mean__overstocking,mean__normal_inventory,mean__understocking,mean__unequal_supply_regions,mean__equal_supply_regions,mean__award_decision_lag_days,mean__log1p_Quantity,mean__log1p_Approved_Budget_of_the_Contract,mean__log1p_Item_Budget,mean__log1p_Contract_Amount,z__high_risk_shortage,z__low_risk_shortage,z__overstocking,z__normal_inventory,z__understocking,z__unequal_supply_regions,z__equal_supply_regions,z__award_decision_lag_days,z__log1p_Quantity,z__log1p_Approved_Budget_of_the_Contract,z__log1p_Item_Budget,z__log1p_Contract_Amount
19,False,16,3.281344530921545e-05,0.39350829375000007,0.60649170625,0.59092654375,0.75996309,0.40907343875,0.569660345,0.430339649375,0.0,0.0,0.7841469175,1.0,0.9999494875,0.6773341813567706,-0.6773341789452922,0.617748101838617,0.2906070100559408,-0.6177481839334044,-0.5196528238977881,0.5196528628725288,-0.5380486317555407,-0.7907409497238505,1.4984467064000517,1.812496330596019,2.3627960382402047
20,False,33,6.767773095025687e-05,0.018853162727272728,0.9811468363636364,0.9892706406060606,0.02033042806060606,0.01072933746969697,0.6883085006060607,0.3116914871212121,0.00014582640606060606,0.6976980251515151,0.5570909490909092,0.8970956251515151,0.8698935424242424,-1.2590117887327401,1.2590117803438063,2.480148932305046,-2.7643125445643393,-2.4801490364165364,-0.06363575427433081,0.06363575684960525,-0.5371833209561873,1.776885138246971,0.5261742221187314,1.2647601290126824,1.6394708854430342
21,False,35,7.17794116139088e-05,0.14718232285714286,0.8528176771428572,0.4509244385714286,0.9370651799999998,0.5490755445714288,0.5563204502857143,0.4436795317142857,0.0,0.035092752000000005,0.232138232,0.7084893202857142,0.592599468857143,-0.5957627591942346,0.5957627575938602,-0.036811709664844434,1.0220953092428324,0.036811631043716514,-0.5709239091128981,0.5709239017448831,-0.5380486317555407,-0.6615947255901033,-0.8653002576478778,0.2608523634393556,0.09725935473724584
22,False,34,6.972857128208283e-05,0.034396833147058825,0.9656031667647059,0.18444576520588235,0.4951705114705881,0.815554242352941,0.5099196088235294,0.49008036382352943,3.538434705882353e-05,0.0,0.08869384797058823,0.6332180267647058,0.58826303,-1.178676779051726,1.1786767751584113,-1.282694619677986,-0.803071065147977,1.2826946561011365,-0.7492627601769034,0.7492627211043656,-0.5378386666438356,-0.7907409497238505,-1.479541004516067,-0.13979933346047307,0.07314161604324441
23,False,20,4.101680663651931e-05,0.40066299,0.59933701,0.37418638550000005,0.847474843,0.625813615,0.848334009,0.151665988,0.0,0.04094154400000001,0.13256118700000005,0.6579312529999999,0.5248922250000001,0.7143121007918617,-0.7143120982638572,-0.39558949725246284,0.652058551146356,0.39558950003873156,0.5514126889994091,-0.5514126654178814,-0.5380486317555407,-0.6400703549011455,-1.291697421298329,-0.008256542525487721,-0.27930438081452463
24,False,102,0.0002091857138462485,0.07876214648039215,0.9212378565686273,0.3013174225490196,0.7121740822549021,0.6986825856862746,0.6667826688235298,0.333217315245098,0.017960013813725494,0.039610049627450974,0.16107664084313728,0.6352537434313724,0.5237870215686274,-0.9493816524902614,0.9493816655339201,-0.7362779075646455,0.09322311698448778,0.7362779467597995,-0.14636899762342362,0.14636898810526197,-0.43147675407313996,-0.6449704399862377,-1.1695918834314534,-0.1289636841876253,-0.28545113127951816
25,False,94311,0.19341680253483864,0.1430181048486709,0.8569818955809184,0.4106168605561705,0.8154141180601414,0.589383139294462,0.7179133869079959,0.28208659953685145,0.02705857732613905,0.0002816674674216157,0.3383598607644071,0.772905700257658,0.6874635721305044,-0.617284863368459,0.6172848639205275,-0.2252640235366695,0.5196374986508383,0.2252640231651144,0.050148850543027756,-0.05014885560378409,-0.3774873191101524,-0.7897043741404132,-0.4104504353472221,0.6037258645663187,0.6248599342816944
26,False,614,0.001259215963741143,0.4734633161400652,0.5265366838762214,0.33858402710097724,0.7813695307980457,0.6614159739576547,0.0,1.0,0.9996102127035831,0.0,0.23725269817589578,0.7168865873941368,0.5882630300000001,1.0905691074894852,-1.090569103691624,-0.5620432300232607,0.37902245998658474,0.562043235540363,-2.7091081920039723,2.7091083046884674,5.3934800643366465,-0.7907409497238505,-0.8433996893895193,0.3055490752790641,0.07314161604324503
27,False,386,0.0007916243680848227,0.20581070133937823,0.7941892980051815,0.0,0.13325701139896376,1.0,0.7222137816580311,0.27778620620466316,0.03409464896891192,0.0,0.4206432815025906,0.0,0.758733882823834,-0.29275122937196607,0.2927512253389181,-2.1450444047171686,-2.2978896221744223,2.1450444064167824,0.06667715982957322,-0.06667715983415301,-0.33573638426927005,-0.7907409497238505,-0.0581060047787293,-3.5102725253424802,1.0212401869654582
28,False,200,0.00041016806636519316,0.11483189518999999,0.8851681032,0.16489184310000002,0.45886340405,0.8351081478000001,0.6915407692000001,0.30845921745000004,0.022121587325000004,0.0,0.04748400242999999,0.6099904932500001,0.4550361861,-0.7629608436644679,0.7629608332161782,-1.3741161847427,-0.953031036007055,1.3741161433452806,-0.05121272380314454,0.05121272194242342,-0.4067826359165645,-0.7907409497238505,-1.6560049802544516,-0.2634341254528165,-0.6678189541522888
