row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
190,0,1.8558298876755157,-0.7843870914827777,-0.275558818301949,0.5055233,0.8680444,0.8280385,0.0,0.0,0.5723757,0.4276243,0.5438403,0.4561597,0.8473914,0.0,1.0
191,0,1.5943722815423502,0.3436741569330235,-0.175620487111525,0.4750376,0.8508698,0.8032946,0.42227948,0.0,0.5723757,0.4276243,0.8710729,0.12892711,0.2397963,0.0,1.0
196,0,1.5299373138403447,0.4517468463157957,-0.1738381482037876,0.46601596,0.84578735,0.7959721,0.46550733,0.0,0.5723757,0.4276243,0.8814179,0.11858214,0.22058807,0.0,1.0
201,0,2.5229982152381982,-0.3334646386819206,-0.1951062690170389,0.6955013,0.9750709,0.8250295,0.0,0.0,0.5723757,0.4276243,0.5849815,0.41501853,0.77100176,0.0,1.0
213,0,1.8824692525510176,-0.7791506932990976,-0.2695844547921175,0.5096963,0.87039524,0.83142555,0.0,0.0,0.5723757,0.4276243,0.5450753,0.4549247,0.84509826,0.0,1.0
214,0,1.956373896794403,-0.7645249672371043,-0.2530315420974058,0.5212996,0.8769321,0.8407949,0.0,0.0,0.5723757,0.4276243,0.5490241,0.4509759,0.83776623,0.0,1.0
215,0,2.9143194753315016,-0.0615586208730102,-0.0255973558595925,0.71762055,0.9875321,0.9208172,0.12649684,0.0,0.5723757,0.4276243,0.7930498,0.2069502,0.3846671,0.0,1.0
217,0,2.8916256609055235,-0.580779334322731,-0.0432671828755057,0.6677792,0.9594533,0.9597307,0.0,0.0,0.5723757,0.4276243,0.5819043,0.41809568,0.77671534,0.0,1.0
219,0,2.2889755418571007,-0.6264625573944763,-0.1941626030416472,0.5928271,0.91722804,0.8631184,0.0,0.0,0.5723757,0.4276243,0.5681289,0.43187115,0.8022931,0.0,1.0
221,0,2.2906690450343827,-0.389074278861088,-0.1363823661082511,0.57638997,0.907968,0.8855579,0.11093158,0.0,0.5723757,0.4276243,0.75874186,0.24125816,0.448369,0.0,1.0
