cluster_id,cluster_label,rationale_short
363,"Moderate understocking segment · mean PC=(-0.72,-0.70,-0.63)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.93; high_risk_shortage=-0.93; normal_inventory=0.62; overstocking=-0.42; understocking=0.42
364,"Mixed procurement profile segment · mean PC=(-0.46,-0.08,-0.51)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.93; low_risk_shortage=0.93; normal_inventory=0.30; overstocking=-0.26; understocking=0.26
365,"Strong understocking / lean-stock segment · mean PC=(-0.89,-0.58,-0.57)",Strongest theme deviations vs cohort (z): overstocking=-1.82; understocking=1.82; normal_inventory=-1.69; unequal_supply_regions=-0.75; equal_supply_regions=0.75
366,"High shortage-risk segment · mean PC=(-0.79,-0.48,-0.55)",Strongest theme deviations vs cohort (z): overstocking=-1.10; understocking=1.10; unequal_supply_regions=-0.60; equal_supply_regions=0.60; normal_inventory=-0.51
367,"Strong understocking / lean-stock segment · mean PC=(-0.72,-0.49,-0.55)",Strongest theme deviations vs cohort (z): understocking=1.38; overstocking=-1.38; normal_inventory=-0.98; unequal_supply_regions=-0.72; equal_supply_regions=0.72
368,"Severe surplus / extreme overstocking segment · mean PC=(1.15,1.86,0.06)",Strongest theme deviations vs cohort (z): normal_inventory=-2.68; overstocking=2.43; understocking=-2.43; low_risk_shortage=0.91; high_risk_shortage=-0.91
369,"Mixed procurement profile segment · mean PC=(-0.19,0.27,-0.42)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.05; low_risk_shortage=1.05; unequal_supply_regions=-0.33; equal_supply_regions=0.33; understocking=-0.29
370,"Strong understocking / lean-stock segment · mean PC=(-0.26,0.13,-0.41)",Strongest theme deviations vs cohort (z): overstocking=-0.92; understocking=0.92; normal_inventory=-0.77; unequal_supply_regions=-0.56; equal_supply_regions=0.56
371,"Strong understocking / lean-stock segment · mean PC=(-0.41,-0.63,-0.57)",Strongest theme deviations vs cohort (z): understocking=0.81; overstocking=-0.81; high_risk_shortage=-0.25; low_risk_shortage=0.25; normal_inventory=-0.23
372,"Mixed procurement profile segment · mean PC=(-0.18,0.26,-0.44)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.97; low_risk_shortage=0.97; normal_inventory=0.20; understocking=-0.18; overstocking=0.18
373,"Strong understocking / lean-stock segment · mean PC=(-2.35,0.42,-0.41)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.36; low_risk_shortage=1.36; overstocking=-0.80; understocking=0.80; unequal_supply_regions=-0.75
374,"Strong understocking / lean-stock segment · mean PC=(-2.35,0.36,-0.42)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.36; low_risk_shortage=1.36; understocking=0.85; overstocking=-0.85; unequal_supply_regions=-0.75
375,"Strong understocking / lean-stock segment · mean PC=(-2.86,-1.41,-0.71)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; unequal_supply_regions=-0.75; equal_supply_regions=0.75
376,"Strong understocking / lean-stock segment · mean PC=(-0.66,-1.09,-0.69)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; overstocking=-0.72; understocking=0.72; normal_inventory=0.11
377,"Moderate understocking segment · mean PC=(-0.49,-0.20,-0.49)",Strongest theme deviations vs cohort (z): understocking=0.55; overstocking=-0.55; high_risk_shortage=-0.47; low_risk_shortage=0.47; unequal_supply_regions=-0.30
378,"Balanced baseline procurement segment · mean PC=(0.20,0.42,-0.26)",No theme z-score exceeds ±0.35; cluster mean near the cohort average on the engineered theme proxies.
379,"Strong understocking / lean-stock segment · mean PC=(-2.27,0.09,-0.44)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.36; low_risk_shortage=1.36; overstocking=-1.13; understocking=1.13; unequal_supply_regions=-0.75
380,"Strong understocking / lean-stock segment · mean PC=(-2.29,0.52,-0.39)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.36; low_risk_shortage=1.36; overstocking=-0.80; understocking=0.80; unequal_supply_regions=-0.75
381,"Overstocking-heavy procurement segment · mean PC=(-0.68,0.53,-0.46)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.83; equal_supply_regions=-0.83; overstocking=0.65; understocking=-0.65; high_risk_shortage=-0.49
382,"Overstocking-heavy procurement segment · mean PC=(3.57,0.05,0.41)",Strongest theme deviations vs cohort (z): understocking=-0.62; overstocking=0.62; normal_inventory=0.29; low_risk_shortage=-0.14; high_risk_shortage=0.14
383,"Overstocking-heavy procurement segment · mean PC=(2.96,-0.59,0.30)",Strongest theme deviations vs cohort (z): overstocking=0.59; understocking=-0.59; equal_supply_regions=-0.35; unequal_supply_regions=0.35; normal_inventory=0.34
384,"Mixed procurement profile segment · mean PC=(0.11,-0.94,-0.66)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.00; low_risk_shortage=1.00; normal_inventory=0.78; unequal_supply_regions=-0.49; equal_supply_regions=0.49
385,"Mixed procurement profile segment · mean PC=(-0.13,0.37,-0.42)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.87; high_risk_shortage=-0.87; understocking=0.33; overstocking=-0.33; unequal_supply_regions=-0.28
-1,Noise / outlier procurement records,DBSCAN noise label (-1): not assigned to a dense neighborhood in PC1–PC3; treated as outlier procurement records rather than a single procurement pattern.
