cluster_id,cluster_label,rationale_short
76,"Mixed procurement profile segment · mean PC=(0.80,-0.89,-0.38)",Strongest theme deviations vs cohort (z): normal_inventory=0.91; high_risk_shortage=-0.79; low_risk_shortage=0.79; overstocking=0.18; understocking=-0.18
77,"Overstocking-heavy procurement segment · mean PC=(-0.03,0.13,-0.41)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; understocking=-0.78; overstocking=0.78; normal_inventory=-0.15
78,"Overstocking-heavy procurement segment · mean PC=(-0.02,0.07,-0.53)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.97; low_risk_shortage=0.97; understocking=-0.75; overstocking=0.75; unequal_supply_regions=-0.65
79,"High shortage-risk segment · mean PC=(3.01,-0.56,-0.02)",Strongest theme deviations vs cohort (z): equal_supply_regions=1.43; unequal_supply_regions=-1.43; high_risk_shortage=0.66; low_risk_shortage=-0.66; overstocking=0.59
80,"Overstocking-heavy procurement segment · mean PC=(1.60,-0.08,-0.50)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; unequal_supply_regions=-0.71; equal_supply_regions=0.71; understocking=-0.57
81,"Severe surplus / extreme overstocking segment · mean PC=(0.70,0.35,-0.35)",Strongest theme deviations vs cohort (z): understocking=-1.59; overstocking=1.59; normal_inventory=-1.31; high_risk_shortage=-1.27; low_risk_shortage=1.27
82,"Strong understocking / lean-stock segment · mean PC=(0.65,0.55,-0.35)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.96; high_risk_shortage=-0.96; normal_inventory=-0.93; overstocking=-0.92; understocking=0.92
83,"Overstocking-heavy procurement segment · mean PC=(1.47,-0.16,-0.51)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.05; low_risk_shortage=1.05; unequal_supply_regions=-0.82; equal_supply_regions=0.82; overstocking=0.55
84,"Overstocking-heavy procurement segment · mean PC=(0.19,-0.02,-0.50)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.99; low_risk_shortage=0.99; understocking=-0.54; overstocking=0.54; unequal_supply_regions=-0.34
85,"Strong understocking / lean-stock segment · mean PC=(-2.88,-0.99,-0.60)",Strongest theme deviations vs cohort (z): normal_inventory=-2.32; understocking=2.15; overstocking=-2.15; high_risk_shortage=-1.04; low_risk_shortage=1.04
86,"Strong understocking / lean-stock segment · mean PC=(-1.36,-0.48,-0.05)",Strongest theme deviations vs cohort (z): normal_inventory=-2.36; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.66; high_risk_shortage=-0.66
87,"Mixed procurement profile segment · mean PC=(0.34,-0.91,-0.42)",Strongest theme deviations vs cohort (z): normal_inventory=0.92; high_risk_shortage=0.13; low_risk_shortage=-0.13; understocking=0.07; overstocking=-0.07
88,"Strong understocking / lean-stock segment · mean PC=(-1.59,0.90,-0.63)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.60; unequal_supply_regions=-2.60; understocking=1.06; overstocking=-1.06; normal_inventory=-0.44
89,"Overstocking-heavy procurement segment · mean PC=(3.36,-0.29,0.33)",Strongest theme deviations vs cohort (z): overstocking=0.62; understocking=-0.62; normal_inventory=0.28; unequal_supply_regions=-0.15; equal_supply_regions=0.15
90,"Severe surplus / extreme overstocking segment · mean PC=(0.74,0.62,-0.19)",Strongest theme deviations vs cohort (z): overstocking=1.67; understocking=-1.67; normal_inventory=-1.50; low_risk_shortage=1.03; high_risk_shortage=-1.03
91,"Strong understocking / lean-stock segment · mean PC=(-0.91,-0.37,-0.58)",Strongest theme deviations vs cohort (z): understocking=1.31; overstocking=-1.31; normal_inventory=-0.87; unequal_supply_regions=-0.68; equal_supply_regions=0.68
92,"Strong understocking / lean-stock segment · mean PC=(-2.35,-0.81,-0.38)",Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.72; high_risk_shortage=-0.72
93,"Overstocking-heavy procurement segment · mean PC=(-0.11,0.12,-0.42)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.78; high_risk_shortage=-0.78; overstocking=0.40; understocking=-0.40; unequal_supply_regions=0.07
94,"Strong understocking / lean-stock segment · mean PC=(-1.74,0.08,-0.80)",Strongest theme deviations vs cohort (z): understocking=0.71; overstocking=-0.71; low_risk_shortage=0.69; high_risk_shortage=-0.69; unequal_supply_regions=0.45
95,"Strong understocking / lean-stock segment · mean PC=(0.09,0.04,-0.34)",Strongest theme deviations vs cohort (z): overstocking=-0.84; understocking=0.84; unequal_supply_regions=-0.57; equal_supply_regions=0.57; normal_inventory=-0.53
96,"Mixed procurement profile segment · mean PC=(0.75,-0.75,-0.36)",Strongest theme deviations vs cohort (z): normal_inventory=0.79; low_risk_shortage=0.71; high_risk_shortage=-0.71; unequal_supply_regions=0.03; equal_supply_regions=-0.03
97,"Overstocking-heavy procurement segment · mean PC=(3.53,-0.03,0.28)",Strongest theme deviations vs cohort (z): understocking=-0.63; overstocking=0.63; high_risk_shortage=-0.61; low_risk_shortage=0.61; normal_inventory=0.27
98,"Strong understocking / lean-stock segment · mean PC=(-0.90,0.55,-0.48)",Strongest theme deviations vs cohort (z): understocking=1.33; overstocking=-1.33; normal_inventory=-0.95; high_risk_shortage=0.16; low_risk_shortage=-0.16
99,"Mixed procurement profile segment · mean PC=(-0.23,0.10,-0.46)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; unequal_supply_regions=-0.42; equal_supply_regions=0.42; overstocking=0.13
