PhilGEPS DBSCAN — semantic legend reference (full labels vs grouped plot legend)
Encoding: UTF-8. Delimiter: TAB. cluster_id = actual DBSCAN assignment; Display group = plot bucket.

Display group	Actual cluster_id	Semantic label	Short rationale	Count	Share
Other DBSCAN clusters	73	Strong understocking / lean-stock segment · mean PC=(-2.27,0.33,-0.22)	Strongest theme deviations vs cohort (z): equal_supply_regions=0.96; unequal_supply_regions=-0.96; low_risk_shortage=0.93; high_risk_shortage=-0.93; overstocking=-0.67	23	0.005%
Other DBSCAN clusters	74	Strong understocking / lean-stock segment · mean PC=(-2.22,-0.46,-0.32)	Strongest theme deviations vs cohort (z): overstocking=-1.28; understocking=1.28; high_risk_shortage=-0.96; low_risk_shortage=0.96; normal_inventory=-0.81	42	0.009%
Other DBSCAN clusters	75	Strong understocking / lean-stock segment · mean PC=(-2.23,-0.29,-0.30)	Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; high_risk_shortage=-0.94; low_risk_shortage=0.94; normal_inventory=-0.55	42	0.009%
Other DBSCAN clusters	76	Mixed procurement profile segment · mean PC=(0.80,-0.89,-0.38)	Strongest theme deviations vs cohort (z): normal_inventory=0.91; high_risk_shortage=-0.79; low_risk_shortage=0.79; overstocking=0.18; understocking=-0.18	128	0.026%
Other DBSCAN clusters	77	Overstocking-heavy procurement segment · mean PC=(-0.03,0.13,-0.41)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; understocking=-0.78; overstocking=0.78; normal_inventory=-0.15	47	0.010%
Other DBSCAN clusters	78	Overstocking-heavy procurement segment · mean PC=(-0.02,0.07,-0.53)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.97; low_risk_shortage=0.97; understocking=-0.75; overstocking=0.75; unequal_supply_regions=-0.65	23	0.005%
Other DBSCAN clusters	79	High shortage-risk segment · mean PC=(3.01,-0.56,-0.02)	Strongest theme deviations vs cohort (z): equal_supply_regions=1.43; unequal_supply_regions=-1.43; high_risk_shortage=0.66; low_risk_shortage=-0.66; overstocking=0.59	22	0.005%
Other DBSCAN clusters	80	Overstocking-heavy procurement segment · mean PC=(1.60,-0.08,-0.50)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; unequal_supply_regions=-0.71; equal_supply_regions=0.71; understocking=-0.57	39	0.008%
Other DBSCAN clusters	81	Severe surplus / extreme overstocking segment · mean PC=(0.70,0.35,-0.35)	Strongest theme deviations vs cohort (z): understocking=-1.59; overstocking=1.59; normal_inventory=-1.31; high_risk_shortage=-1.27; low_risk_shortage=1.27	37	0.008%
Other DBSCAN clusters	82	Strong understocking / lean-stock segment · mean PC=(0.65,0.55,-0.35)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.96; high_risk_shortage=-0.96; normal_inventory=-0.93; overstocking=-0.92; understocking=0.92	23	0.005%
Other DBSCAN clusters	83	Overstocking-heavy procurement segment · mean PC=(1.47,-0.16,-0.51)	Strongest theme deviations vs cohort (z): high_risk_shortage=-1.05; low_risk_shortage=1.05; unequal_supply_regions=-0.82; equal_supply_regions=0.82; overstocking=0.55	29	0.006%
Other DBSCAN clusters	84	Overstocking-heavy procurement segment · mean PC=(0.19,-0.02,-0.50)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.99; low_risk_shortage=0.99; understocking=-0.54; overstocking=0.54; unequal_supply_regions=-0.34	24	0.005%
Other DBSCAN clusters	85	Strong understocking / lean-stock segment · mean PC=(-2.88,-0.99,-0.60)	Strongest theme deviations vs cohort (z): normal_inventory=-2.32; understocking=2.15; overstocking=-2.15; high_risk_shortage=-1.04; low_risk_shortage=1.04	25	0.005%
Other DBSCAN clusters	86	Strong understocking / lean-stock segment · mean PC=(-1.36,-0.48,-0.05)	Strongest theme deviations vs cohort (z): normal_inventory=-2.36; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.66; high_risk_shortage=-0.66	25	0.005%
Other DBSCAN clusters	87	Mixed procurement profile segment · mean PC=(0.34,-0.91,-0.42)	Strongest theme deviations vs cohort (z): normal_inventory=0.92; high_risk_shortage=0.13; low_risk_shortage=-0.13; understocking=0.07; overstocking=-0.07	108	0.022%
Other DBSCAN clusters	88	Strong understocking / lean-stock segment · mean PC=(-1.59,0.90,-0.63)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.60; unequal_supply_regions=-2.60; understocking=1.06; overstocking=-1.06; normal_inventory=-0.44	27	0.006%
Other DBSCAN clusters	89	Overstocking-heavy procurement segment · mean PC=(3.36,-0.29,0.33)	Strongest theme deviations vs cohort (z): overstocking=0.62; understocking=-0.62; normal_inventory=0.28; unequal_supply_regions=-0.15; equal_supply_regions=0.15	23	0.005%
Other DBSCAN clusters	90	Severe surplus / extreme overstocking segment · mean PC=(0.74,0.62,-0.19)	Strongest theme deviations vs cohort (z): overstocking=1.67; understocking=-1.67; normal_inventory=-1.50; low_risk_shortage=1.03; high_risk_shortage=-1.03	79	0.016%
Other DBSCAN clusters	91	Strong understocking / lean-stock segment · mean PC=(-0.91,-0.37,-0.58)	Strongest theme deviations vs cohort (z): understocking=1.31; overstocking=-1.31; normal_inventory=-0.87; unequal_supply_regions=-0.68; equal_supply_regions=0.68	24	0.005%
Other DBSCAN clusters	92	Strong understocking / lean-stock segment · mean PC=(-2.35,-0.81,-0.38)	Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.72; high_risk_shortage=-0.72	160	0.033%
